user;id;date;text
ditjendikti;1,62E+18;06/02/2023 10.28;@Refitha_ Halo #InsanDikti , Mahasiswa yang mengikuti program Studi Independen MBKM bisa mendapatkan uang saku sesuai dengan kesepakatan antara mitra dengan mahasiswa. Terima kasih
urvrooh;1,62E+18;05/02/2023 23.25;"Alasan lain knp pengennya ikut mbkm terus smpe skripsi : selain ga betah di sini, gua jg cape jd beban orang tua yg harus bayar ukt, kost + uang bulanan. Ikut mbkm setidaknya ada dana untuk cover kost/biaya hidup. Lah ini full ga mbkm yo piyee??
Wes mumettt kepalaku wkwkwk"
jialesha;1,62E+18;05/02/2023 18.44;@imsolvly @collegemenfess rill bngt, aku sampe rela ikut program mbkm biar bisa dibayarin uang ukt padahal aku ngga niat2 banget buat ikut gituan??
haechancibiru;1,62E+18;05/02/2023 16.50;@collegemenfess Kalau ngga ngejar uang si menurut aku worth it si, aku dapet di revou kalau tanpa mbkm bayar 16jt di sini free ???? https://t.co/0z9cvyAicP
cuucuunguk;1,62E+18;04/02/2023 22.00;"Tadi vc ibu dan baru bilang daftar magang mbkm. Terus adek aku nyeletuk, ""si teteh daftar biar dpt uang buat konserrr tah"".

Untung ibu tdk ngamuk"
gunsetiawan_;1,62E+18;04/02/2023 01.37;@Askrlfess Mestinya ngambil program MBKM (Merdeka Belajar, Kampus Merdeka) aja berupa magang di perusahaan, selain dapat ilmu/pengalaman dapat uang juga, nilai Makul dan KKN yang diambil bisa dikonversi dari nilai magang di perusahaan tsb. Lagian KKN udah ga jaman.
nosedjve;1,62E+18;01/02/2023 00.16;@bondmanuel123 @njelongop hmmmm sulit jawabnya. kayaknya sih ngga ya. soalnya budget dari mbkm sendiri juga ga gede. buat studi independen yang batch1 aja cm 10 juta kalo ga salah. itupun kemaren kepotong sama uang sertif sama uang saku.
storyofalfin;1,62E+18;31/01/2023 23.01;Bisa upgrade ram laptop jugaa pake uang sendiri hasil dari mbkm, makasih banget Pt MariBelajar Indonesia Cerdas ??, sampai dapet temen sharing jni itu di dm Instagram yang super seru jugaa. Alhamdulillah banget januarinya bener-bener kumplit ya Allah.
siapayahayo;1,62E+18;30/01/2023 20.35;"@UGM_FESS Kl km bisa manage waktu &amp; kuliahmu ga terlalu berat okok ajaa. Enaknya dapet tambahan uang jajan wkwk. Bisa ttp aktif si balik lg km bisa manage waktu ga, aku parttime &amp; 4 organisasi &amp; ambil full sks &amp; ikut mbkm aman aja ga tipes??"
eaxxdr;1,62E+18;30/01/2023 17.11;"@icukprayogi Itu dia pak. Belum lagi dengan MBKM. Makin terindustrialisasilah kampus jadinya.

Kalo alesannya kampus ga ada uang, ya masak negara gabisa tarik pajak dari pengusaha-pengusaha kaya itu. atau ga berani? wkwkwkwkwk"
